Compact Stream Performance Test
Timestamp on Tick,Latency After Decode
1396627951.548,8.867
1396627951.809,7.643
1396627951.842,7.211
1396627953.294,8.103
1396627953.963,9.870
1396627960.223,11.790
1396627960.437,7.393
1396627961.325,25.963
1396627961.325,44.121
1396627962.170,7.179
1396627964.512,7.573
1396627964.679,9.473
1396627966.925,9.848
1396627968.429,10.028
1396627968.482,10.714
1396627968.567,48.114
1396627968.716,8.730
1396627968.921,7.467
1396627968.937,8.001
1396627969.045,8.466
1396627975.239,7.269
1396627978.017,14.417
1396627978.763,10.989
1396627978.832,9.694
1396627979.133,7.836
1396627979.249,8.292
1396627979.526,8.801
1396627979.802,8.004
1396627982.714,15.003
1396627983.624,9.122
1396627983.626,22.280
1396627985.121,8.029
1396627985.158,9.163
1396627985.325,442.233
1396627985.417,366.147
1396627986.815,6.842
1396627990.122,9.649
1396627990.166,8.527
1396627990.261,8.401
1396627991.415,7.462
1396627991.458,7.666
1396627993.015,7.043
1396627994.214,7.561
1396627994.281,7.435
1396627995.113,7.042
1396627995.124,9.743
1396627995.217,7.801
1396627995.906,11.543
1396627997.918,6.358
1396627997.940,7.562
1396627997.998,7.399
1396627998.061,10.635
1396627998.077,12.679
1396627998.236,7.659
1396627998.267,8.464
1396627998.437,9.038
1396627998.970,8.145
1396627999.083,7.541
1396628000.220,13.522
1396628000.914,8.525
1396628003.841,7.198
1396628005.593,7.339
1396628008.517,18.655
1396628008.583,7.596
1396628008.675,7.050
1396628008.827,8.903
1396628008.829,34.162
1396628008.921,9.378
1396628009.116,9.936
1396628009.247,7.657
1396628009.324,7.098
1396628009.710,9.619
1396628015.812,8.179
1396628021.698,7.464
1396628021.836,8.673
1396628022.058,11.692
1396628022.100,7.348
1396628022.234,11.428
1396628022.416,10.843
1396628025.415,7.839
1396628025.461,7.776
1396628026.299,7.599
1396628029.527,7.935
1396628034.302,7.277
1396628036.457,8.011
1396628036.567,7.671
1396628037.216,7.502
1396628037.237,9.001
1396628037.336,9.402
1396628037.530,9.682
1396628037.534,31.898
1396628037.564,16.450
1396628038.551,14.493
1396628038.559,24.284
1396628038.626,9.238
1396628038.664,6.323
1396628041.616,7.438
1396628042.921,7.998
1396628043.160,9.617
1396628043.324,9.159
1396628043.327,20.684
1396628044.523,9.117
1396628052.166,8.504
1396628052.175,14.878
1396628052.214,8.655
1396628052.240,16.258
1396628052.383,8.942
1396628053.022,7.969
1396628053.318,8.461
1396628055.590,7.315
1396628055.596,16.334
1396628055.635,11.529
1396628055.643,24.845
1396628055.716,11.620
1396628055.732,14.549
1396628055.818,8.006
1396628055.923,9.223
1396628056.087,7.863
1396628056.798,8.477
1396628056.893,9.038
1396628057.661,7.736
1396628058.758,7.075
1396628059.918,7.567
1396628060.082,7.086
