Http Stream Performance Test
Timestamp on Tick,Latency After Decode,Bid,Ask
1397055714.374,116.326,1.38194,1.38205
1397055714.533,54.687,1.38191,1.38203
1397055714.720,11.090,1.38191,1.38202
1397055714.763,75.545,1.38189,1.382
1397055714.825,104.138,1.38191,1.38202
1397055715.057,9.382,1.3819,1.382
1397055715.475,17.023,1.38188,1.38198
1397055716.042,15.352,1.38189,1.38198
1397055716.055,96.753,1.38188,1.38199
1397055716.115,130.510,1.38189,1.38199
1397055716.316,37.303,1.38189,1.38198
1397055716.351,100.647,1.38191,1.382
1397055716.410,44.191,1.38189,1.38198
1397055716.751,8.908,1.38188,1.382
1397055716.841,19.472,1.38188,1.382
1397055716.937,19.101,1.38189,1.38202
1397055716.940,122.143,1.38189,1.38203
1397055717.020,140.852,1.38191,1.38204
1397055717.033,129.067,1.38193,1.38206
1397055717.085,78.915,1.38193,1.38205
