Http Stream Performance Test
Timestamp on Tick,Latency After Decode
1396645951.842,178.831
1396645953.294,9.981
1396645953.963,21.131
1396645960.223,27.161
1396645960.437,20.652
1396645960.614,21.850
1396645960.812,20.101
1396645960.981,20.425
1396645961.325,21.349
1396645961.325,123.665
1396645962.170,20.891
1396645964.512,20.404
1396645964.679,21.161
1396645966.925,23.077
1396645968.429,22.802
1396645968.482,67.698
1396645968.567,87.688
1396645968.716,35.697
1396645968.921,21.028
1396645968.937,105.573
1396645969.045,96.051
1396645975.239,20.418
1396645978.017,24.621
1396645978.763,20.478
1396645978.832,51.179
1396645979.133,20.321
1396645979.249,22.295
1396645979.526,24.655
1396645979.802,20.226
1396645982.714,23.398
1396645983.624,23.573
1396645983.626,121.449
1396645985.121,26.375
1396645985.158,85.991
1396645985.325,551.335
1396645985.417,561.139
1396645986.815,23.688
1396645990.122,21.172
1396645990.166,75.949
1396645990.261,81.728
1396645991.415,23.214
1396645991.458,79.233
1396645993.015,20.705
1396645994.214,23.618
1396645994.281,53.985
1396645995.113,21.823
1396645995.124,112.361
1396645995.217,116.443
1396645995.906,21.925
1396645997.918,24.202
1396645997.940,100.800
1396645997.998,670.422
1396645998.061,609.670
1396645998.077,595.832
1396645998.236,530.369
1396645998.267,501.601
1396645998.437,333.655
1396645998.970,21.570
1396645999.083,21.126
1396646000.220,20.602
1396646000.914,21.399
1396646003.841,22.368
1396646005.593,20.400
1396646008.517,117.237
1396646008.583,150.769
1396646008.675,59.729
1396646008.827,1220.832
1396646008.829,1246.771
1396646008.921,1155.614
1396646009.116,962.434
1396646009.247,832.640
1396646009.324,757.122
1396646009.710,373.187
1396646015.812,23.791
1396646021.698,20.997
1396646021.836,21.756
1396646022.058,23.227
1396646022.100,79.098
1396646022.234,1188.471
1396646022.416,1007.598
1396646025.415,25.908
1396646025.461,74.616
1396646026.299,26.369
1396646029.527,20.446
1396646034.302,20.467
1396646036.457,20.915
1396646036.567,20.187
1396646037.216,22.082
1396646037.237,100.497
1396646037.336,101.547
1396646037.530,1218.944
1396646037.534,1241.719
1396646037.564,1212.872
1396646038.551,226.536
1396646038.559,220.122
1396646038.626,153.523
1396646038.664,117.065
1396646041.616,21.298
1396646042.921,23.836
1396646043.160,20.773
1396646043.324,21.403
1396646043.327,120.040
1396646044.523,21.445
1396646052.166,21.686
1396646052.175,112.986
1396646052.214,75.958
1396646052.240,149.607
1396646052.383,107.543
1396646053.022,21.521
1396646053.318,26.641
1396646055.590,20.742
1396646055.596,115.150
1396646055.635,78.550
1396646055.643,72.014
1396646055.716,95.188
1396646055.732,81.255
1396646055.818,99.914
1396646055.923,1218.131
1396646056.087,1057.416
1396646056.798,349.362
1396646056.893,256.370
1396646057.661,19.613
1396646058.758,20.487
1396646059.918,21.100
1396646060.082,20.139
1396646060.090,113.320
1396646061.514,21.147
1396646061.521,114.953
1396646061.590,145.563
1396646061.717,119.062
1396646061.731,107.403
1396646061.824,112.716
1396646062.015,21.785
1396646062.907,20.751
1396646066.222,21.661
1396646067.241,26.578
1396646067.656,21.130
1396646079.575,20.366
1396646086.032,25.826
1396646086.137,115.541
1396646088.523,24.334
1396646089.888,21.027
1396646090.099,20.917
1396646091.286,1222.160
1396646100.189,23.030
1396646104.098,21.914
1396646105.654,20.791
1396646109.316,22.683
1396646109.818,21.457
1396646110.957,34.700
1396646114.007,20.858
1396646114.415,22.150
1396646133.214,1219.233
1396646134.021,440.685
1396646134.027,436.066
1396646134.115,348.666
1396646134.353,112.025
1396646136.026,21.822
1396646136.098,149.850
1396646138.169,22.019
1396646142.300,21.931
1396646147.898,21.209
1396646147.902,117.108
1396646147.913,107.874
1396646147.935,87.762
1396646148.118,21.410
1396646149.925,20.729
1396646150.125,27.280
1396646150.216,36.007
1396646150.532,29.319
1396646151.414,20.662
1396646151.635,36.635
1396646158.504,20.630
1396646160.533,22.005
1396646166.430,25.775
1396646171.019,20.578
1396646171.032,108.291
1396646171.049,94.224
1396646171.051,94.489
1396646171.135,105.868
1396646171.171,72.662
1396646171.273,67.165
1396646171.416,26.363
1396646171.438,104.209
1396646172.028,21.291
1396646172.108,44.655
1396646172.140,109.867
1396646174.224,22.467
1396646174.399,21.512
1396646174.688,20.754
1396646179.607,22.636
1396646181.360,1220.532
1396646184.565,20.756
1396646184.816,23.356
1396646189.316,22.214
1396646193.336,20.729
1396646197.658,20.837
1396646197.700,79.420
1396646197.810,69.386
1396646199.214,21.576
1396646199.224,112.611
1396646203.034,21.496
1396646203.737,10.281
1396646210.408,10.351
1396646212.405,10.703
1396646214.458,12.958
1396646214.541,1228.913
1396646214.552,1236.362
1396646214.607,1183.085
1396646214.620,1172.167
1396646214.640,1153.590
1396646214.738,1057.674
1396646215.312,485.635
1396646215.319,479.310
1396646215.340,459.889
1396646215.395,407.316
1396646218.503,10.182
1396646218.819,10.553
1396646219.859,11.494
1396646219.894,80.513
1396646219.907,69.701
1396646219.939,141.077
1396646219.944,137.887
1396646219.956,126.810
1396646219.979,106.079
1396646220.042,137.613
1396646220.080,101.751
1396646220.120,62.851
1396646220.232,46.033
1396646220.249,124.756
1396646220.372,103.154
1396646221.027,10.236
1396646221.220,21.474
1396646221.334,10.794
1396646221.341,112.257
1396646225.715,10.273
1396646227.822,10.945
1396646228.325,10.149
1396646228.451,11.081
1396646230.169,10.360
1396646230.937,10.047
1396646231.117,46.441
1396646231.317,1062.614
1396646231.321,1060.405
1396646233.014,13.481
1396646233.138,10.382
1396646233.228,20.310
1396646233.232,116.900
1396646233.318,132.181
1396646235.982,8.923
1396646238.614,48.721
