Compact Stream Performance Test,,,,,,,,
Timestamp on Tick,Latency After Decode,Bid,Ask,,Timestamp on Tick,Latency After Decode,Bid,Ask
1396635413.626,13.879,1.36984,1.36997,,1396635413.626,343.603,1.36984,1.36997
1396635417.619,13.293,1.36983,1.36995,,1396635417.619,14.947,1.36983,1.36995
1396635418.022,11.674,1.36984,1.36994,,1396635418.022,12.71,1.36984,1.36994
1396635419.031,10.7,1.36986,1.36996,,1396635419.031,11.876,1.36986,1.36996
1396635419.211,13.815,1.36985,1.36996,,1396635419.211,14.457,1.36985,1.36996
1396635422.654,212.71,1.36986,1.36996,,1396635422.654,1212.561,1.36986,1.36996
1396635424.149,16.026,1.36985,1.36996,,1396635424.149,17.448,1.36985,1.36996
1396635424.201,19.565,1.36983,1.36994,,1396635424.201,64.905,1.36983,1.36994
1396635424.23,15.108,1.36981,1.36992,,1396635424.23,132.652,1.36981,1.36992
1396635424.302,15.948,1.36981,1.36991,,1396635424.302,61.371,1.36981,1.36991
1396635424.913,13.001,1.36981,1.3699,,1396635424.913,18.993,1.36981,1.3699
1396635431.838,11.742,1.36979,1.36988,,1396635431.838,13.162,1.36979,1.36988
1396635454.119,11.3,1.36981,1.3699,,1396635454.119,12.189,1.36981,1.3699
1396634521.774,856.357,0.02654,0.03581,,1396635474.725,920.017,1.3698,1.36991
1396635487.918,11.457,1.36981,1.3699,,1396635487.918,12.523,1.36981,1.3699
1396635499.135,14.424,1.3698,1.36991,,1396635499.135,15.383,1.3698,1.36991
1396635508.158,10.629,1.36981,1.3699,,1396635508.158,11.987,1.36981,1.3699
1396635511.825,12.605,1.3698,1.36991,,1396635511.825,13.407,1.3698,1.36991
1396635511.894,17.761,1.3698,1.36992,,1396635511.894,45.117,1.3698,1.36992
1396635511.925,42.86,1.36983,1.36995,,1396635511.925,113.529,1.36983,1.36995
1396635512.323,12.42,1.36986,1.36997,,1396635512.323,13.989,1.36986,1.36997
1396635531.902,13.535,1.36983,1.36994,,1396635531.902,14.126,1.36983,1.36994
1396635531.94,14.371,1.36981,1.36992,,1396635531.94,77.211,1.36981,1.36992
1396635533.931,17.379,1.36982,1.3699,,1396635533.931,18.601,1.36982,1.3699
1396635537.837,11.996,1.3698,1.36991,,1396635537.837,12.494,1.3698,1.36991
1396635544.323,15.996,1.3698,1.36991,,1396635544.323,13.705,1.3698,1.36991
1396635551.014,15.751,1.36979,1.36989,,1396635551.014,16.935,1.36979,1.36989
