Timestamp on Tick,Latency After Decode,Bid,Ask,,Timestamp on Tick,Latency After Decode,Bid,Ask
1396642581.808,11.706,1.37003,1.37016,,1396642581.808,12.247,1.37003,1.37016
1396642581.822,14.219,1.37,1.37015,,1396642581.81,110.85,1.37002,1.37018
1396642582.322,10.862,1.37001,1.37014,,1396642581.822,100.326,1.37,1.37015
1396642584.136,10.848,1.36999,1.37012,,1396642582.322,12.363,1.37001,1.37014
1396642603.981,11.329,1.36998,1.37013,,1396642584.136,12.199,1.36999,1.37012
1396642607.119,10.61,1.36997,1.37012,,1396642603.981,12.917,1.36998,1.37013
1396642608.885,11.36,1.37,1.37015,,1396642607.119,11.721,1.36997,1.37012
1396642610.886,19.53,1.37001,1.37014,,1396642608.885,12.555,1.37,1.37015
1396642626.905,10.552,1.36999,1.37012,,1396642610.886,21.175,1.37001,1.37014
1396642629.755,10.967,1.36998,1.37013,,1396642626.905,12.504,1.36999,1.37012
1396642636.724,11.338,1.36998,1.37012,,1396642629.755,12.25,1.36998,1.37013
1396642638.874,20.981,1.36998,1.37013,,1396642636.724,12.67,1.36998,1.37012
1396642658.518,12.336,1.36999,1.37012,,1396642638.874,12.533,1.36998,1.37013
1396642677.643,10.467,1.37001,1.37014,,1396642658.518,12.842,1.36999,1.37012
1396642678.088,12.535,1.37,1.37015,,1396642677.643,12.459,1.37001,1.37014
1396642693.012,11.861,1.37002,1.37014,,1396642678.088,87.443,1.37,1.37015
1396642714.912,13.4,1.37001,1.37015,,1396642693.012,11.894,1.37002,1.37014
1396642715.213,11.874,1.37001,1.37013,,1396642714.912,14.348,1.37001,1.37015
1396642715.482,959.983,1.36998,1.37011,,1396642715.213,13.524,1.37001,1.37013
1396642728.213,11.32,1.36999,1.3701,,1396642715.224,105.933,1.36999,1.37013
1396642732.492,12.227,1.36997,1.37008,,1396642715.225,106.663,1.36998,1.37014
1396642733.259,14.539,1.36999,1.3701,,1396642715.482,43.656,1.36998,1.37011
1396642737.198,10.289,1.36998,1.37011,,1396642728.213,13.073,1.36999,1.3701
1396642737.595,22.346,1.37,1.37011,,1396642732.492,13.977,1.36997,1.37008
1396642746.477,11.838,1.37,1.37011,,1396642733.259,16.304,1.36999,1.3701
1396642759.319,11.55,1.36998,1.37014,,1396642737.198,12.207,1.36998,1.37011
1396642770.076,10.916,1.36995,1.37011,,1396642737.595,23.171,1.37,1.37011
1396642770.723,10.63,1.36998,1.37014,,1396642746.477,13.46,1.37,1.37011
1396642779.484,12.394,1.37001,1.37012,,1396642759.319,11.879,1.36998,1.37014
1396642794.157,10.407,1.37,1.37013,,1396642770.076,11.545,1.36995,1.37011
1396642795.122,11.911,1.37001,1.37012,,1396642770.723,11.175,1.36998,1.37014
1396642799.979,11.284,1.37,1.37013,,1396642779.484,12.274,1.37001,1.37012
1396642810.015,10.873,1.37001,1.37012,,1396642794.157,11.679,1.37,1.37013
1396642815.707,11.669,1.36998,1.37009,,1396642795.122,12.524,1.37001,1.37012
1396642825.791,10.835,1.36998,1.3701,,1396642799.979,12.325,1.37,1.37013
1396642827.113,10.594,1.36999,1.37009,,1396642810.015,12.41,1.37001,1.37012
1396642827.127,11.851,1.36997,1.37008,,1396642815.707,12.328,1.36998,1.37009
1396642828.761,10.496,1.36998,1.37007,,1396642825.791,12.387,1.36998,1.3701
1396642828.772,14.675,1.37,1.37009,,1396642827.113,11.458,1.36999,1.37009
1396642828.821,18.126,1.36999,1.37012,,1396642827.118,108.876,1.36997,1.37009
1396642829.021,12.429,1.37001,1.37012,,1396642827.127,101.818,1.36997,1.37008
1396642834.932,10.52,1.37001,1.37011,,1396642828.761,11.135,1.36998,1.37007
