,,,,,,,,,
Timestamp on Tick,Latency After Decode,Bid,Ask,Latency After Decode,Bid,Ask,,1.0949987434,1.266
1396635413.626,13.879,1.36984,1.36997,343.603,1.36984,1.36997,,24.7570430146,329.724
1396635417.619,13.293,1.36983,1.36995,14.947,1.36983,1.36995,,1.1244263898,1.654
1396635418.022,11.674,1.36984,1.36994,12.71,1.36984,1.36994,,1.0887442179,1.036
1396635419.031,10.7,1.36986,1.36996,11.876,1.36986,1.36996,,1.1099065421,1.176
1396635419.211,13.815,1.36985,1.36996,14.457,1.36985,1.36996,,1.0464712269,0.642
1396635422.654,212.71,1.36986,1.36996,1212.561,1.36986,1.36996,,5.700535941,999.851
1396635424.149,16.026,1.36985,1.36996,17.448,1.36985,1.36996,,1.0887308124,1.422
1396635424.201,19.565,1.36983,1.36994,64.905,1.36983,1.36994,,3.3174035267,45.34
1396635424.23,15.108,1.36981,1.36992,132.652,1.36981,1.36992,,8.7802488748,117.544
1396635424.302,15.948,1.36981,1.36991,61.371,1.36981,1.36991,,3.8481941309,45.423
1396635424.913,13.001,1.36981,1.3699,18.993,1.36981,1.3699,,1.460887624,5.992
1396635431.838,11.742,1.36979,1.36988,13.162,1.36979,1.36988,,1.1209334015,1.42
1396635454.119,11.3,1.36981,1.3699,12.189,1.36981,1.3699,,1.0786725664,0.889
1396635487.918,11.457,1.36981,1.3699,12.523,1.36981,1.3699,,1.0930435542,1.066
1396635499.135,14.424,1.3698,1.36991,15.383,1.3698,1.36991,,1.0664864115,0.959
1396635508.158,10.629,1.36981,1.3699,11.987,1.36981,1.3699,,1.1277636654,1.358
1396635511.825,12.605,1.3698,1.36991,13.407,1.3698,1.36991,,1.0636255454,0.802
1396635511.894,17.761,1.3698,1.36992,45.117,1.3698,1.36992,,2.5402285907,27.356
1396635511.925,42.86,1.36983,1.36995,113.529,1.36983,1.36995,,2.6488334111,70.669
1396635512.323,12.42,1.36986,1.36997,13.989,1.36986,1.36997,,1.1263285024,1.569
1396635531.902,13.535,1.36983,1.36994,14.126,1.36983,1.36994,,1.0436645733,0.591
1396635531.94,14.371,1.36981,1.36992,77.211,1.36981,1.36992,,5.3726950108,62.84
1396635533.931,17.379,1.36982,1.3699,18.601,1.36982,1.3699,,1.0703147477,1.222
1396635537.837,11.996,1.3698,1.36991,12.494,1.3698,1.36991,,1.0415138379,0.498
