Timestamp on Tick,Latency After Decode,Bid,Ask,Latency After Decode,Bid,Ask,,1.1285962349,1.5055
1396642581.808,11.706,1.37003,1.37016,12.247,1.37003,1.37016,,1.0462156159,0.541
1396642581.822,14.219,1.37,1.37015,100.326,1.37,1.37015,,7.055770448,86.107
1396642582.322,10.862,1.37001,1.37014,12.363,1.37001,1.37014,,1.138188179,1.501
1396642584.136,10.848,1.36999,1.37012,12.199,1.36999,1.37012,,1.1245390855,1.351
1396642603.981,11.329,1.36998,1.37013,12.917,1.36998,1.37013,,1.1401712419,1.588
1396642607.119,10.61,1.36997,1.37012,11.721,1.36997,1.37012,,1.1047125353,1.111
1396642608.885,11.36,1.37,1.37015,12.555,1.37,1.37015,,1.105193662,1.195
1396642610.886,19.53,1.37001,1.37014,21.175,1.37001,1.37014,,1.0842293907,1.645
1396642626.905,10.552,1.36999,1.37012,12.504,1.36999,1.37012,,1.1849886277,1.952
1396642629.755,10.967,1.36998,1.37013,12.25,1.36998,1.37013,,1.1169873256,1.283
1396642636.724,11.338,1.36998,1.37012,12.67,1.36998,1.37012,,1.1174810372,1.332
1396642638.874,20.981,1.36998,1.37013,12.533,1.36998,1.37013,,0.5973499833,-8.448
1396642658.518,12.336,1.36999,1.37012,12.842,1.36999,1.37012,,1.0410181582,0.506
1396642677.643,10.467,1.37001,1.37014,12.459,1.37001,1.37014,,1.1903124104,1.992
1396642678.088,12.535,1.37,1.37015,87.443,1.37,1.37015,,6.9759074591,74.908
1396642693.012,11.861,1.37002,1.37014,11.894,1.37002,1.37014,,1.0027822275,0.033
1396642714.912,13.4,1.37001,1.37015,14.348,1.37001,1.37015,,1.0707462687,0.948
1396642715.213,11.874,1.37001,1.37013,13.524,1.37001,1.37013,,1.1389590702,1.65
1396642715.482,959.983,1.36998,1.37011,43.656,1.36998,1.37011,,0.0454758053,-916.327
1396642728.213,11.32,1.36999,1.3701,13.073,1.36999,1.3701,,1.1548586572,1.753
1396642732.492,12.227,1.36997,1.37008,13.977,1.36997,1.37008,,1.143125869,1.75
1396642733.259,14.539,1.36999,1.3701,16.304,1.36999,1.3701,,1.1213976202,1.765
1396642737.198,10.289,1.36998,1.37011,12.207,1.36998,1.37011,,1.1864126737,1.918
1396642737.595,22.346,1.37,1.37011,23.171,1.37,1.37011,,1.0369193592,0.825
1396642746.477,11.838,1.37,1.37011,13.46,1.37,1.37011,,1.1370163879,1.622
1396642759.319,11.55,1.36998,1.37014,11.879,1.36998,1.37014,,1.0284848485,0.329
1396642770.076,10.916,1.36995,1.37011,11.545,1.36995,1.37011,,1.0576218395,0.629
1396642770.723,10.63,1.36998,1.37014,11.175,1.36998,1.37014,,1.0512699906,0.545
1396642779.484,12.394,1.37001,1.37012,12.274,1.37001,1.37012,,0.9903178958,-0.12
1396642794.157,10.407,1.37,1.37013,11.679,1.37,1.37013,,1.1222254252,1.272
1396642795.122,11.911,1.37001,1.37012,12.524,1.37001,1.37012,,1.0514650323,0.613
1396642799.979,11.284,1.37,1.37013,12.325,1.37,1.37013,,1.0922545197,1.041
1396642810.015,10.873,1.37001,1.37012,12.41,1.37001,1.37012,,1.1413593305,1.537
1396642815.707,11.669,1.36998,1.37009,12.328,1.36998,1.37009,,1.0564744194,0.659
1396642825.791,10.835,1.36998,1.3701,12.387,1.36998,1.3701,,1.1432395016,1.552
1396642827.113,10.594,1.36999,1.37009,11.458,1.36999,1.37009,,1.0815555975,0.864
1396642827.127,11.851,1.36997,1.37008,101.818,1.36997,1.37008,,8.5915112649,89.967
